,city_name,country_code,rand_lat,rand_lng,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,lavrentiya,ru,68.25000000008095,-173.49000000000592,65.58,-170.99,23.78,94,99,10
1,vaini,to,-54.98999999998209,-178.64000000000124,-21.2,-175.2,77,94,90,14.99
2,padang,id,-1.13999999995454,99.67999999974563,-0.92,100.36,77,94,75,17.22
3,hobart,au,-53.20999999998118,155.85999999969454,-42.88,147.33,57.61,48,75,20.8
4,hilo,us,10.660000000051497,-144.95000000003188,19.71,-155.08,68.76,83,90,6.93
5,beroroha,mg,-21.559999999964987,45.49999999979491,-21.68,45.17,81.38,64,55,0.22
6,fomboni,km,-14.03999999996114,43.59999999979664,-12.28,43.74,84.26,78,100,13.22
7,szczecinek,pl,53.84000000007359,16.599999999821193,53.71,16.69,51.98,78,100,10.31
8,mahebourg,mu,-33.56999999997113,65.57999999977665,-20.41,57.7,79.47,57,20,12.75
9,cherskiy,ru,81.66000000008782,158.23999999969237,68.75,161.3,33.5,90,100,11.3
10,rikitea,pf,-55.1999999999822,-130.15000000004534,-23.12,-134.97,76.52,85,96,21.14
11,yumen,cn,36.500000000064716,96.37999999974863,40.29,97.04,67.34,23,100,13.44
12,severo-kurilsk,ru,51.190000000072246,152.20999999969786,50.68,156.12,32.96,84,97,10.63
13,maumere,id,-9.459999999958796,122.30999999972505,-8.63,122.22,85.52,62,65,3.65
14,castro,cl,-46.58999999997779,-108.39000000006513,-42.48,-73.76,50,100,90,16.11
15,corinto,br,-17.88999999996311,-44.2100000001235,-18.36,-44.46,67.52,86,0,0.67
16,new norfolk,au,-72.0199999999908,126.63999999972111,-42.78,147.06,58.14,48,75,20.8
17,horlivka,ua,48.35000000007079,37.96999999980176,48.31,38,64.82,64,52,5.97
18,petropavlovsk-kamchatskiy,ru,48.12000000007066,162.5999999996884,53.05,158.65,48.2,31,5,13.42
19,bolu,tr,40.17000000006658,31.26999999980785,40.73,31.61,58.88,44,0,0.45
20,sisimiut,gl,65.53000000007955,-59.36000000010972,66.94,-53.67,30.8,66,28,10.29
21,jamestown,sh,-43.69999999997631,-14.690000000150349,-15.94,-5.72,73.1,71,1,9.37
